Id,SalePrice
1461,121099.055
1462,177572.33
1463,182314.4
1464,196030.58
1465,178026.69
1466,170711.78
1467,163316.34
1468,161515.36
1469,181130.78
1470,123132.47
1471,179603.92
1472,90730.78
1473,88357.74
1474,133805.77
1475,95155.73
1476,340647.6
1477,234751.0
1478,249668.17
1479,276762.16
1480,526549.9
1481,341048.94
1482,200291.19
1483,177635.38
1484,157998.3
1485,190171.22
1486,193897.31
1487,367520.7
1488,224124.94
1489,188920.56
1490,246517.0
1491,189148.78
1492,91709.22
1493,187670.3
1494,247850.64
1495,280888.0
1496,228492.52
1497,174187.48
1498,163941.77
1499,155250.19
1500,156325.67
1501,195948.58
1502,156079.34
1503,281424.75
1504,233525.92
1505,227586.77
1506,183066.48
1507,265427.1
1508,179654.61
1509,159943.11
1510,139448.25
1511,151463.47
1512,152344.58
1513,148492.39
1514,161385.9
1515,195659.64
1516,156398.92
1517,159430.92
1518,129224.04
1519,218530.62
1520,137758.12
1521,143103.38
1522,158900.98
1523,112650.164
1524,119854.04
1525,125003.13
1526,117738.54
1527,108630.945
1528,145093.95
1529,140261.31
1530,184870.72
1531,135440.06
1532,94036.29
1533,155151.48
1534,121464.35
1535,154323.52
1536,93323.88
1537,75426.55
1538,147358.02
1539,180866.64
1540,123496.914
1541,129660.11
1542,130279.87
1543,162370.0
1544,69497.13
1545,113651.12
1546,125799.11
1547,130995.23
1548,125062.44
1549,119022.48
1550,124922.195
1551,114271.5
1552,130852.85
1553,169141.0
1554,101937.73
1555,158617.64
1556,106578.71
1557,125469.25
1558,104429.09
1559,108837.8
1560,132493.14
1561,132594.64
1562,126961.89
1563,128146.305
1564,163019.27
1565,151246.06
1566,211476.73
1567,75072.06
1568,226744.4
1569,144443.39
1570,134483.45
1571,119038.734
1572,146003.0
1573,229364.97
1574,136475.1
1575,245086.6
1576,252279.36
1577,167670.02
1578,151197.4
1579,150996.86
1580,179281.3
1581,171506.77
1582,119854.03
1583,322430.06
1584,217306.36
1585,152009.42
1586,56696.027
1587,98012.77
1588,149701.14
1589,117443.36
1590,131603.38
1591,95662.02
1592,123049.22
1593,120456.7
1594,151370.92
1595,142127.77
1596,203451.73
1597,164373.8
1598,191732.73
1599,162701.45
1600,158335.23
1601,58596.13
1602,121312.61
1603,85620.08
1604,245983.38
1605,242280.67
1606,151273.4
1607,182152.25
1608,189075.12
1609,175474.52
1610,152529.6
1611,142555.98
1612,153200.6
1613,159215.98
1614,118132.83
1615,85074.98
1616,75866.52
1617,87389.51
1618,119162.99
1619,136441.61
1620,166341.89
1621,137554.12
1622,144464.33
1623,251423.62
1624,245117.67
1625,126422.016
1626,151224.11
1627,192358.11
1628,289292.06
1629,170017.72
1630,345253.5
1631,189207.45
1632,244353.48
1633,177462.17
1634,191464.97
1635,173796.11
1636,141939.8
1637,208953.14
1638,174136.36
1639,171448.45
1640,257062.64
1641,177382.75
1642,232547.73
1643,205603.03
1644,234162.48
1645,190295.14
1646,153160.84
1647,153195.27
1648,126807.28
