Id,SalePrice
1461,129000.0
1462,163000.0
1463,208900.0
1464,177000.0
1465,220000.0
1466,187000.0
1467,173000.0
1468,174000.0
1469,210000.0
1470,128950.0
1471,196000.0
1472,88000.0
1473,88000.0
1474,146000.0
1475,139400.0
1476,325000.0
1477,232600.0
1478,315000.0
1479,236500.0
1480,555000.0
1481,253293.0
1482,202500.0
1483,176432.0
1484,213490.0
1485,190000.0
1486,219500.0
1487,410000.0
1488,252000.0
1489,250580.0
1490,193000.0
1491,185000.0
1492,93000.0
1493,187000.0
1494,337000.0
1495,348000.0
1496,289000.0
1497,202665.0
1498,151000.0
1499,151000.0
1500,80000.0
1501,183200.0
1502,167240.0
1503,392000.0
1504,212000.0
1505,214000.0
1506,158000.0
1507,151400.0
1508,228950.0
1509,179900.0
1510,157000.0
1511,157000.0
1512,167000.0
1513,127500.0
1514,136900.0
1515,200000.0
1516,171000.0
1517,156000.0
1518,142953.0
1519,260400.0
1520,132500.0
1521,157900.0
1522,167000.0
1523,99500.0
1524,99500.0
1525,104900.0
1526,116500.0
1527,110000.0
1528,120000.0
1529,154000.0
1530,170000.0
1531,97500.0
1532,112000.0
1533,144900.0
1534,107900.0
1535,133000.0
1536,119000.0
1537,84000.0
1538,161000.0
1539,287000.0
1540,107500.0
1541,154000.0
1542,175000.0
1543,159500.0
1544,60000.0
1545,81000.0
1546,109500.0
1547,175000.0
1548,159434.0
1549,124000.0
1550,166000.0
1551,108480.0
1552,153900.0
1553,113000.0
1554,66500.0
1555,139000.0
1556,79000.0
1557,157900.0
1558,79000.0
1559,107500.0
1560,106000.0
1561,136000.0
1562,130250.0
1563,144000.0
1564,165000.0
1565,152000.0
1566,175900.0
1567,84000.0
1568,237500.0
1569,165500.0
1570,147000.0
1571,140000.0
1572,145000.0
1573,220000.0
1574,108959.0
1575,179900.0
1576,215000.0
1577,198900.0
1578,179900.0
1579,143750.0
1580,180000.0
1581,152000.0
1582,129000.0
1583,350000.0
1584,236000.0
1585,140000.0
1586,90350.0
1587,107500.0
1588,147500.0
1589,79000.0
1590,125000.0
1591,108000.0
1592,109000.0
1593,99500.0
1594,136000.0
1595,104900.0
1596,234000.0
1597,112000.0
1598,179900.0
1599,213500.0
1600,220000.0
1601,89000.0
1602,103000.0
1603,102776.0
1604,275000.0
1605,250000.0
1606,181500.0
1607,124500.0
1608,198900.0
1609,207500.0
1610,167500.0
1611,142000.0
1612,167500.0
1613,153337.0
1614,143000.0
1615,75500.0
1616,84500.0
1617,107500.0
1618,124500.0
1619,128200.0
1620,124500.0
1621,81000.0
1622,188700.0
1623,312500.0
1624,215000.0
1625,129000.0
1626,218000.0
1627,192000.0
1628,310000.0
